"prompt","response"
"在狼人杀游戏中，女巫应该在何时使用解药救人？如果首轮没有使用，那么应该优先救谁？","狼人杀女巫救人应该根据情况来定，通常标准局里女巫首夜就要开解药救人，而如果女巫首轮没有开解药，那么就应该把解药留给预言家。
1、女巫首夜开解药的必要性
在标准局里，无论狼人是否安排自刀，从收益角度来说女巫都应该首夜开解药救人。首先，狼人如果没有自刀，那么刀中其它甚至的概率高达3/7，这个概率是非常高的，一旦预言家或者守卫这样的强神出局会导致好人轮次落后很多。其次，就算狼人安排了自刀，女巫救了自刀狼也不会影响轮次，因为狼人把本身刀好人的狼刀用在了自己身上。最后，女巫第一轮使用了解药有利于自己后续携毒快速起跳带队。虽然狼人自刀不用解药是收益最高的，但冒的风险是最大的。
2、女巫救预言家的好处
如果女巫首夜没有将解药使用掉，那么我建议优先把解药留给预言家，因为预言家多活一轮救能多报出一轮的查验信息，这样狼人的生存空间就更小，更有利于好人获得游戏的胜利。
总的来说，常见的标准局板子里，女巫通常首轮开解药是最合理的，而如果没有首轮开解药，那么留给预言家是收益最高的方式。"
"守卫在狼人杀游戏中应该如何进行发言以隐藏自己的身份并有效地保护好人阵营？","狼人杀守卫发言技巧就是正常以平民的身份进行表水，而如果面对有玩家穿衣服则要看情况是否起跳，起跳后则要聊心路历程来自证身份。
1、起跳前
通常情况下，守卫自证能力是比较弱的，而且没有预言家、女巫这两位神职能准确知道狼人的身份或者狼刀的位置，因此不会选择起跳带队。常规的玩法，就是全程以平民的身份进行游戏，因此需要在白天以平民的方式来进行表水为主，主要目的不要让狼人抿出自己的身份，导致夜间被刀出局。
2、起跳后
只有当被狼人穿衣服的时候，才能选择起跳身份，而且要考虑目前的局势，如果神职的数量已经好少了，而狼人处于大优势，就算被穿衣服也不应该起跳。而当局势相当并且神职数量有一定的优势，则可以直接对跳，用自己真正守护过玩家的心路历程来说服其它好人信任自己，进而将这个冒牌的守卫放逐。
总之，守卫是一个比较难自证身份的玩家，通常不建议起跳，因为主要以平民的身份来进行发言隐藏身份，让自己在夜间尽可能地抿狼刀扰乱狼人的刀人顺序进而争取能守出一个平安夜获得轮次优势。"
"在狼人杀游戏中，如果守卫和女巫在同一晚上都选择救同一个人，会有什么后果？他们应该如何合理地使用自己的技能？","守卫守人女巫救人会导致被救被守的人出局，这主要是守卫的技能与女巫的解药是冲突的。
1、守卫应该首夜放弃守人，选择空守
在标准局的狼人杀游戏当中，为了避免守卫的技能与女巫的解药冲突，故守卫应该在首个夜晚选择空守，把救人的任务交给女巫。
2、女巫首夜应该开解药救人
同理，守卫选择空守，那么首夜被刀玩家必须由女巫救活，无论首夜被刀的玩家是好人还是自刀狼，女巫开解药都不会影响轮次，反而如果不救人导致女巫、守卫这样功能比较强大的神职出局则会让好人非常被动。
3、女巫首夜开解药，守卫不守人的好处
（1）可以让女巫快速使用掉解药，方便在后续预言家如果出局可以快速起跳带队；
（2）守卫虽然可以守中让玩家免于出局，但守护并不一定能轻易守中，而女巫可以百分百解救这名被刀的玩家，更具指向性；
（3）守卫首夜空守有利于第二轮夜晚选择合适目标进行守护，比如预言家，能让预言家多报出一轮查验信息，让好人更好地去排狼坑。"
"狼人杀游戏中，女巫能否救狼人？如果狼人自刀，女巫应该如何选择？","女巫在狼人杀游戏当中是可以救狼人的。
首先，女巫的技能是解药和毒药，解药可以救任意被刀的人，包括好人和狼人；毒药可以毒杀任意玩家，包括狼人和好人。其次，女巫虽然夜间具有看到狼人刀了哪位玩家，但无法分别被刀的玩家是好人还是狼人，因此通常情况下如果狼人选择自刀，则女巫会大概率救狼人。
那么如果考虑狼人首夜可能自刀的情况，是否可以首夜不用解药呢？其实在十二人标准局里，除非你的抿人能力特别强，能大概率断定这是狼人自刀，否则依旧建议选择使用解药救人，因为在首夜如果狼人不自刀，则有3/7的概率刀中其它神职，会让好人陷入非常被动的局面。
拿到女巫的玩家水平高低不看解药的使用，而是看毒药的使用。所以，在标准局狼人杀里面，请放心在首夜使用解药，救了自刀狼不影响轮次也没有玩家会埋怨你；而不使用解药则可能导致强身出局，让其它玩家埋怨你还有非常大的概率要输掉这轮游戏。
总之，女巫的解药和毒药都能对好人或者狼人使用。"
"在狼人杀游戏中，女巫自救后应不应该公开自己的身份并带队？","狼人杀女巫自救不一定要跳身份，如果在首夜自救没必要起跳身份，而如果在预言家出局后则需要起跳带队。
1、首夜自救无需起跳身份
这个时候女巫虽然已经使用了解药，但其身份并没有暴露，而更多的是狼人在首轮随机刀人刀中女巫而已。此外，首轮预言家还没有出局，有预言家带队，女巫没必要起跳带队扰乱视角，通常首轮是真假预言家之间的较量，让好人从中找出合适的悍跳狼进行放逐。
2、预言家出局后，则有必要起跳身份
当预言家已经出局了，本就是女巫该起跳带队的时候，如果这个夜晚女巫还被狼人刀，那么说明女巫的身份大概率也已经暴露，因此应该及时起跳利用毒药强行带队，避免被闷掉解药出局。在带队的时候可以先告知自己被狼刀，即自己救了自己的情况，然后再利用毒药的威慑力要求所有的玩家听令于自己对可疑的狼人进行放逐，如果不听自己的，则可以考虑在当晚使用毒药让其出局。
因此，女巫在自救后是否要跳身份要视情况来定，如果是开局则无需过早起跳；而如果是预言家已经出局，那么正好起跳告知自己的身份并带队。"
"在狼人杀游戏中，预言家首轮应该如何进行查验？","预言家在狼人杀游戏当中最重要的作用就是查验一名玩家的身份，并将这个信息告诉给场上所有的玩家，让本身是闭眼的玩家拥有一定的夜间视角，可以快速进行排狼坑。尤其是首轮，闭眼玩家基本上只能从预言家身上获得视角，那么预言家首轮应该如何查验呢？
1、查验具有狼面的玩家
对于有一定经验的预言家玩家，通常可以在玩家拿到底牌的时候通过面相抿出谁具有一定的狼面，因此在首轮没有任何玩家发言信息的时候，预言家完全可以通过抿面相来进行查验，而且遇到查杀的概率不低。
2、针对陌生人进行查验
通常对于面杀局，很多玩家互相都认识的，而突然有个陌生人加入，预言家直接查验他的身份更加能说服大家相信自己是真的预言家。此外，陌生的配置不知道，因此查他可以避免他是高手或者新手影响后续自己的操作。
3、查验本身水平比较高的玩家
对于哪些配置本身比较高的玩家，预言家应该优先去查验，因为这样操作有两个好处，其一是如果这位玩家是狼人，预言家则可以尽快想办法将他放逐；此外如果这个玩家是好人，则预言家可以在后续让他来帮助自己分析场上局势。
总之，预言家应该在查验一名玩家的时候一定要奔着查狼去，否则没有理由在白天很难得到好人玩家的信任，进而可能被抗推。"
"在狼人杀游戏中，守卫在第二天应不应该暴露自己的身份？","不该。
狼人杀守卫第二天不能起跳身份，就算在后面不是必要的话守卫也不应该起跳身份。对于守卫来说，只要活着就能对狼人造成巨大的威胁，因为夜间狼人不得不考虑守卫的技能而在选择刀位的时候变得犹豫，让刀掉强神的难度变大，此外也会因为过多时间消耗在讨论刀位而失去了更多策略打法的沟通让白天暴露出更多的信息。
守卫的核心玩家是利用自己在夜间的抿刀能力以及调整守护顺序来实现对重要甚至角色比如女巫、预言家的守护，但实际游戏当中，守卫守中刀口的概率不高，就算守卫守不到人也能给狼人巨大的心理压力，守出平安夜有利于好人，守不到平安夜也有存在的价值。
守卫要跳身份除非是有狼人恶意穿自己的衣服乱报铜水，这个时候如果好人轮次领先并且神职比较多则可以起跳对刚，如果本身神职只剩下你一个了，你跳了就是等于将胜利拱手让给狼人阵营。
因此，对于拿到守卫的玩家不应该去考虑起跳的问题，起跳是对于预言家、女巫以及猎人这样需要带队的角色考虑的，而守卫只需要在白天做好表水，夜间做好抿刀守人即可。"
"狼人杀守卫在游戏中能够守护自己多少次？他们的守护策略通常是什么？","狼人杀守卫在游戏中能够守自己的次数取决于存活轮次，
如果守卫玩家第N轮出局，如果N为奇数，则最多能守护自己[(N-1)/2]+1次，如果N为偶数，则最多能守护自己N/2次。
举例，守卫第4天出局，则能守护自己2次；守卫如果第3轮出局，则能守护自己[(3-1)/2]+1=2次。
守卫的守护技能是无法连续两个晚上对同一名玩家适用的，但能隔天对同一名玩家适用，因此对于守卫来说如何调整守护的策略是非常重要的工作。通常守卫需要在自守、空守以及守护其它玩家层面来保障自己在关键的时刻能守护对的人，比如首夜守卫为了避免与女巫的解药冲突以及方便第二轮快速守护预言家会选择空守。而在第二轮后守卫则需要观察强神是否有暴露并且在夜间抿狼刀，针对女巫、预言家这样的甚至进行守护，让他们能在后续发挥出更好的作用。
总之，守卫是一个即能用技能保护别人也能用技能保护自己的角色，但碍于无法连续守护同一名玩家的限制，要在守护的顺序以及策略上有所安排。"
"狼人杀游戏中，女巫有几次使用药水的机会？她的药水分别有什么用途？","狼人杀女巫可以用2次药，一次解药一次毒药。
女巫在狼人杀游戏当中的能力就是有解药和毒药，解药可以救人，毒药可以带人，但一局狼人杀游戏女巫有且只有1瓶解药和1瓶毒药，因此女巫只能使用两次药，并且解药和毒药不能在同一个晚上使用。
1、解药的使用
在标准局里，女巫的解药通常是需要在首个夜晚使用，这么操作能避免强神意外被首刀出局，也能方便自己在预言家之后快速起跳带队。当然，在面杀中，玩家可以根据抿身份的情况来决定当晚是否需要使用解药，如果能断定是狼人自刀或者死的是平民，则可以考虑不用解药，将解药留给预言家。
2、毒药的使用
毒药是女巫起跳带队的核心能力，可以利用毒药的威慑力来强制其它玩家听命于自己去放逐指定的玩家，如果不听则大概率是狼人，可以考虑直接用毒药将其淘汰。此外如果遇上非挡刀的穿衣服行为，则可以直接在当晚用毒药将其毒死，然后第二天起跳身份说明情况。
总结，女巫在狼人杀游戏当中只有解药和毒药两次药可以使用，一个玩家对女巫的掌握基本上可以从他使用解药和毒药的方式上可以看出来水平。"
"在狼人杀游戏中，女巫在什么情况下需要揭露自己的身份？","女巫通常在游戏的中后半场需要起跳身份，但在前期不需要起跳身份。
女巫算的上是狼人杀游戏当中最强的神职，她拥有解药和毒药，这两种技能都能为好人追轮次，其中解药通常在首个夜晚使用，而毒药则在起跳身份之后带队使用。因此女巫在游戏过程当中，在准备带队之前都应该隐藏身份，以平民的角度来发言。
当预言家出局后，女巫应该携毒药起跳身份并带队，带队过程当中可以利用毒药威胁所有的玩家听自己的安排，对指定的角色进行放逐，如果不听自己安排的，可以在夜间将他毒死。而在面对有玩家穿女巫的衣服，并且判断出其非好人，则女巫需要在夜间将其毒死，然后提前起跳身份说明情况。
因此，狼人杀游戏当中女巫前期是无需起跳身份的，需要起跳身份的只有需要带队或者被狼人对跳。"
"在狼人杀游戏中，女巫在第二天是否能自救？","狼人杀女巫第二天不一定能自救，需要看规则。如果游戏规则是通常能自救，则女巫第二天能自救；如果游戏规则指定为全场不能自救或者只有首个晚上能自救，则女巫第二天无法自救。
女巫是一个拥有解药和毒药的角色，解药能救被狼人到的玩家也包括自己，但在很多的狼人杀板子当中是会对女巫解药使用进行硬性的规定，通常有3种情况，分别是全场无法自救、首夜能自救之后无法自救、全场能自救，女巫的玩法也需要根据这三种情况进行适当的调整。
1、全场无法自救
这种情况下女巫在首夜有其它玩家被刀应该及时使用解药救人，而如果出现自己被首刀，则需要撒毒来自证身份。
2、首夜能自救之后无法自救
即然首夜能自救，那么就不存在被首刀撒毒的情况，这样对于女巫自身的操作空间会大很多，我们依旧比较推荐女巫首夜使用解药救人，方便后续起跳利用毒药带队。如果遇到有玩家穿自己的衣服，则可以直接在夜间将其毒死，然后第二天起跳身份说明情况。
3、全场能自救
这种情况依旧建议首夜开解药救人，毕竟狼人刀中强神的概率是不低的，如果刀中守卫、预言家这样的角色，好人容易崩盘。当然在面杀的情况下，可以根据抿身份的情况来适当选择不开解药，将解药留给第二天的预言家，这样能让预言家多出一轮的报查验机会，可以更好地解决狼人。这种情况如果自己被刀则可以使用解药自救。
总结，对于女巫是否在第二天自救，只有能全场自救的规则下才可能。"
"在六七人局狼人杀游戏的第一轮中，各角色应如何进行发言？","通常首轮对于玩家来说，并没有太多得信息可以利用，因此首轮的发言往往是大多数狼人杀玩家的痛点，那么我们在狼人杀游戏当中，首轮应该去怎么发言呢？
1、预言家
预言家在首轮如果有查杀则可以直接起跳，但应该做足充分的心路历程，否则很难应对悍跳狼对跳的情况。因此预言家在首轮起跳后应该尽可能先聊自己昨晚的查验、以及查验的心路历程，接着告诉大家为啥会首夜去查验这个玩家，接下来会去查验谁。
2、其它神职
在六七人的懒人啥里面，不建议女巫这样的神职角色过早起跳，除非自己已经用过了解药。如果不起跳则应该表水为主，如果起跳了则告诉自己的银水信息并且可以利用毒药强势接过预言家的带队任务。猎人在首轮则应该尽可能地以平民的身份来进行表水，避免过早成为焦点牌出局带错人。
3、平民
平民第一轮唯一需要做的就是把自己的身份聊干净，千万不要认出，本来人数比较少的对局如果放逐错好人，那么就会落后很多。在人少的对局当中，平民是非常难玩的角色，因为信息量极少，同时也极其容易被抗推。
4、狼人
狼人首轮相对好人来说还是比较好操作的，如果没有神职起跳，则可以煽动去抗推平民，而如果有神职起跳则对跳。
总结，人数少的对局，好人玩家发言要极其谨慎，否则被抗推掉一个，则会让好人阵营陷入非常大的被动进而输掉游戏。"
"狼人杀游戏中的""抿身份""是什么意思？如何进行抿身份？","狼人杀抿身份指的是通过玩家的表情、发言以及行为来判断他的底牌信息，抿身份在狼人杀游戏当中有着非常重要的作用，比如预言家可以通过抿身份确认下一个需要查验的玩家，女巫可以通过抿身份来确认要毒的目标等等。
1、通过表情来抿身份
通常这个用于玩家刚刚来到底牌的时候，一般拿到底牌后表现出喜悦之情的多半是拿到神职角色，而闷闷不乐或者不屑的大概率是平民，拿到狼人的多半会表现出紧张和皱眉。但这只是一个概率的问题，有些老玩家经验比较丰富，会利用一些手段掩盖自己表情或者假装出一种不同的表情让抿身份的人抿错。
2、通过发言和行为来抿身份
这个相对于通过表情来抿身份要准确不少，如果玩家的发言和行为不统一，那么他大概率身份是有问题的，比如嘴上说XX有问题，但实际投票却给了另外一位玩家。此外，如果起跳别人的底牌进行发言多半可能会有漏洞。
总之，抿身份是狼人杀玩家必须要具备的能力，好人通过抿身份能更好地找狼坑，而狼人通过抿身份能更加准确地实现屠边获胜。"
"在狼人杀游戏中，什么是拍刀？在什么情况下可以拍刀？拍刀的体验如何？","狼人杀拍刀指的是狼人轮次领先优势非常明显，可以考虑直接在白天将后续几个晚上的刀口全部报出来，然后有法官来根据场上的形式进行判断。
1、能拍刀的情况
（1）狼人抿到神职角色或者最后几个平民
当狼人能非常明确地得知场上其它玩家的身份，则可以考虑直接拍刀明着打，需要轮次领先或者狼人都被暴露的情况下进行。
（2）狼人优势非常明显，比如狼人数量大于好人。
2、拍刀的体验
拍刀对于狼人来说是一种非常刺激的战术，但对于好人来说则体验不佳。这种操作更多的是为了加快游戏的进程，避免浪费时间。
拍刀要谨慎使用，除非真的能确保自己抿的身份全对，此外如果本身轮次领先并不是十分明显，则不建议降低好人体验的拍刀打法。"
"在狼人杀游戏中，预言家在首晚和非首晚验人时应该遵循什么样的策略和逻辑？","狼人杀预言家验人逻辑主要分为首个夜晚和其它夜晚，首个夜晚因为信息量不够仅仅只能依靠抿身份来进行，而其它夜晚则可以结合白天大家的言行来做出更合理的决定。
1、预言家首个夜晚验人逻辑
在首个夜晚，预言家和其它好人玩家一样，没有任何的信息，验人成功率完全依赖预言家个人的抿人水平。通常预言家首夜验人可以参考如下几点：
（1）新手玩家可以成为预言家第一个查验的角色，因为新手玩家的水平不知，预言家首验他心路历程也合情合理，不会被其它玩家质疑；
（2）全场水平最高的玩家，这类玩家成为预言家首验是非常必要的，如果是好人，则预言家可以在后续依靠他一起来支撑局势，而如果他是狼人，则可以尽快想办法将他放逐；
（3）通过抿身份大概率是狼人的玩家也是预言家首夜可以查验的对象，如果该玩家在拿到底牌后面色比较紧张，则大概率是狼人，当然这不是绝对的，因为水平足够高的玩家具有反抿能力。
2、预言家非首晚验人逻辑
经过玩家在白天的发言，并结合前面玩家拿牌时间段的抿身份，预言家可以大致判断出可能有问题的玩家，则可以通过查验来验证自己的观点。
总之，预言家查验要先验有狼面但又不确定为狼人的玩家，而首夜则可以考虑选择新人或者本身配置水平较高的玩家进行查验。"
"狼人杀游戏中，女巫的毒药应该如何使用？","狼人杀女巫的毒药主要是用于毒杀狼人，但毒药的使用需要女巫自身对局势的判断，否则可能会误伤好人，导致好人轮次落后。女巫的毒药通常有三种使用场景，分别是毒杀穿女巫衣服的狼人、用于带队、无法自救规则女巫被首刀盲毒自证身份。
1、毒杀穿女巫衣服
这个不难理解，会穿女巫衣服的玩家除了挡刀的平民就是狼人，如果起跳女巫的玩家身份是坐实的金水玩家，女巫则可以不用理会让他替自己挡刀即可。如果该玩家自身的身份都没有坐实，那么大概率是狼人，就算不是狼人也是暴民，女巫可以选择在当晚用毒药将其毒死，随后第二天白天起跳将情况说明。
2、用于带队
女巫是要在预言家之后起跳带队的角色，而女巫之所以能顺利带队完全依赖于毒药的威慑力，只要有玩家不跟随女巫一起放逐选定的玩家，则可以在女巫发言的时候表明会将他带走，多半玩家惧怕出局会跟随。
3、无法自救规则女巫被首刀盲毒自证身份
当在女巫无法自救的板子里如果被首刀了，那么最合适的做法就是盲毒自证身份，否则身份无法坐实后面很可能被狼人穿走衣服，乱带好人节奏。虽然盲毒有很大概率带走好人甚至神职，但对于一个女巫被首刀闷掉药的对局，其实好人胜率以及极低了，带错人也不过就是加快失败的进程，好开下一局；而玩意毒对了狼人，那么好人会重新有一线生机。"
"守卫在被狼人刀害的当晚还能守护人吗？如果可以，守护的对象包括自己吗？","可以。
守卫睁眼的顺序比狼人早，因此守卫的守人是优于狼人刀自己的，就算守卫当天晚上被刀了，守卫也可以发动守护技能。如果守卫守护的人是自己，则狼刀会失效，而如果守卫守护的其它人，则自己被刀会出局。
此外，守卫的技能与女巫的技能是存在冲突的，如果守卫守护了自己，而自己也被狼人刀，女巫又对守卫使用了解药，那么这个结局会是守卫出局。
因此，守卫被刀的晚上是可以守护任意玩家的，虽然守护别人不会产生任何意义，但它的动作是有效的，而守护自己只要不是被女巫的解药和毒药作用，那么就能活下来。"
"狼人杀游戏中的守卫身份是什么？他们有什么技能和注意事项？","狼人杀守卫是神职身份，归属好人阵营。
守卫在狼人杀当中的技能是可以在夜间选择任意一名玩家进行守护，被守护的玩家在当晚不会被狼人刀死，但守卫无法连续两个晚上守护同一名玩家。
守卫玩法的一些需要注意的问题：
1、守卫是守护了不了玩家吃毒的，也就是说如果A玩家被守卫守护，同时A玩家吃毒，则A玩家会出局；
2、守卫的守护和女巫的解药是冲突的，比如B玩家当晚被守卫守护，而B玩家夜间吃刀，女巫对B玩家开解药，最终的结局是B玩家会出局。
因此，守卫在游戏过程重要不仅仅要抿狼刀，也要时刻关注女巫的动向，这样才能让自己的守护技能发挥到点上，否则就可能让自己的技能无法发挥作用。"
"狼人被企鹅冰冻后还能执行刀人的动作吗？企鹅的技能有什么特殊规定吗？在狼人杀动物局中，企鹅如何配合熊找狼？","狼人被企鹅冰冻了则当晚无法刀人。
企鹅的技能是每个晚上可以选择一名玩家进行，让该玩家夜里无法发动技能，因此狼人如果被企鹅冰冻则当晚是无法刀人的。但企鹅一局游戏当中不能对同一名玩家进行重复冰冻。
在狼人杀动物局当中，企鹅的技能主要用于配合熊来找狼，当熊在当天咆哮了，只需要起跳身份，然后企鹅第二天夜里对熊两侧的一名玩家进行冰冻。如果熊依旧咆哮，则未被冰冻的玩家就是狼人；如果熊没有咆哮，则未被冰冻的玩家是好人，而被冰冻的则是狼人。根据冰冻后熊是否咆哮好人可以选择相应的玩家进行放逐。"
"老酒鬼在狼人杀游戏中的技能和角色是什么？","狼人杀老酒鬼是一个非常特殊的角色，他不属于神职角色，却有着不错的技能。
1、老酒鬼吃技能后会延迟生效
即今晚吃技能会到第二轮白天发言后才出局。比如狼人夜间刀了老酒鬼、猎人白天射杀了老酒鬼、女巫夜间对老酒鬼撒毒，都会让老酒鬼进入负伤的状态，而不是直接出局，带到第二轮白天发言完毕后，老酒鬼才会被法官宣布出局。
2、老酒鬼不会被狼美人魅惑带走
狼美人在夜间魅惑一名玩家，然后白天出局可以带走被魅惑的玩家，但如果魅惑的玩家是老酒鬼，则无法带走。因此老酒鬼在游戏过程中非常重要的一个任务就是通过发言来诱导狼美人前来魅惑自己，这样狼美人的技能可能就失效，对于好人来说是一个重大的轮次领先的机会。
3、老酒鬼通常出现在与狼美人的板子当中
因为老酒鬼技能与狼美人的技能有所绑定，因此他们经常出现在同一个板子当中，这个板子的配置为预言家、女巫、猎人、守卫、3个平民、老酒鬼、3个狼人以及狼美人。"
"女巫在狼人杀游戏中第一晚救人后，应该立即公开这个信息吗？","不用。
女巫对于银水需要进行一定的管理，如果女巫第一晚救人救说出来会让狼人自刀轻易实现。女巫对于自己首夜救人之后可以选择暂时不报银水，也可以选择报假的银水，并通过观察被救玩家的表情来断定 他是否是狼人，如果是狼人则采用毒药将其毒死，做到自己“惹”的麻烦自己处理。
当然，这个不是确认的，如果被救的玩家大概率是好人，则可以在自己起跳身份的时候将银水身份给到该名玩家，让其在其它好人眼里的好人面提升，有助于他不会被抗推出局。
因此，女巫通常首夜使用了解药，不建议过早将银水身份告知，而是应该去观察这名玩家的发言和表情，做进一步的分析在做考量。"
"守卫的保护能力能否阻止狼美人的魅惑技能带走被保护的玩家？","不能。
守卫可以在夜间守护任意玩家让其免于被狼人刀出局；而狼美人是可以在夜间魅惑任意玩家，第二天自身出局可以带走这名被魅惑的玩家。从技能上我们可以明确地发现守卫只是可以保护玩家在夜间不被狼人刀死，但狼美人的魅惑不属于狼刀，也是属于第二天白天生效的技能，因此守卫是无法守护被狼美人技能带走的玩家的。
举例：
守卫守护了A玩家，A玩家吃狼刀，则A玩家不会出局；守卫守护了B玩家，B玩家被狼美人魅惑，同时狼美人白天出局，则B玩家会被带走。"
"狼美人在《狼人杀》游戏中的技能是什么？在使用技能时需要翻牌吗？","需要。
狼美人的技能是可以在夜间任意时刻对任意一名玩家进行魅惑（但不能连续两晚对同一名玩家），在白天出局后可以带走这名被魅惑的玩家。由于要带人，因此需要在出局的时候翻牌告知场上玩家自己的身份。
狼美人经常出现在预女猎守的板子里，在这个板子里面我们需要注意以下几个点：
1、老酒鬼属于平民阵营，狼人屠民局需要将老酒鬼也淘汰才能获胜。
2、老酒鬼不但可以让技能延迟一轮生效，并且被狼美人魅惑可以免疫，因此老酒鬼在游戏中的任务就是诱导狼美人魅惑自己，而狼美人则需要避免去魅惑老酒鬼，否则自己的技能将失效，对于狼队来说是非常大的损失。
3、守卫守护的人被狼美人魅惑，第二天狼美人出局可以带走。
综述，狼美人是狼人阵营的特殊功能狼，需要具备一定的抿神能力，然后带人的顺序应该是双药女巫>守卫=单药女巫>预言家>猎人。"
"狼人杀中的老酒鬼属于哪个阵营？他的技能和玩法是怎样的？","老酒鬼的技能看起来比较厉害，但在狼人杀游戏当中并不算神职阵营，而是归属平民阵营。
最常见的板子有预女猎守狼美人局，其中老酒鬼和3个平民搭档组成平民势里，具体配置如下：
1、好人阵营
（1）平民势力
3个平民，1个老酒鬼
（2）神职势力
预言家、女巫、猎人、守卫
2、狼人阵营
3个狼人，1个狼美人
其中狼人想要获得胜利需要屠边，即让好人平民势力或者神职势力全部出局；而好人要胜利则要淘汰所有的狼人阵营。
老酒鬼的玩法就是全程以平民的身份来玩，但在狼美人未出局的时候可以在发言中适当假装自己是神职，比如女巫，这样达到吸引狼美人前来魅惑自己，然后在狼美人出局后利用自身的技能避免出局。老酒鬼要是在对局中能实现让狼美人技能落空，那么也就算成功了。"
"狼人杀游戏中，守卫的主要职责和技能是什么？在有女巫的局面中，守卫应如何使用自己的技能？守卫在什么情况下可以起跳？","狼人杀中守卫的主要作用是在夜间守护一名玩家避免被狼人刀出局，但值得一提的是守卫和女巫的技能是相互冲突的，因此在有女巫的局里面通常首夜救人的责任就交给女巫，而守卫要选择空守，避免出现同守同救失效的情况发生。
此外，守卫不能连续两个晚上对同一名玩家进行守护，因此守卫需要利用空守、自守来调节自己的技能使用，方便在某些重要神职需要守卫保命的时候去守护他们。
守卫通常情况下是不用起跳的，但如果出现有狼人穿自己的衣服，则可以起跳利用自己真实守人的心路历程在发言层面打败狼人，争取让好人将狼守卫放逐出局。"
"狼人杀游戏中的旋风倒钩狼是什么？他们的策略是什么？","旋风倒钩狼指的是在狼人杀游戏中，让别人误以为是阴阳倒钩，进而在发言上故意发言的比较差，去支持狼队友，而实际上旋风倒钩狼是冲锋狼为了达到冲锋的目的而采取的策略。一旦被人觉得是阴阳倒钩，那么好人玩家就不会去针对悍跳狼，而是选择去针对真预言家。
旋风倒钩狼真实的站队对象是悍跳狼，抗推的目标是真预言家，这是一种与阴阳倒钩狼截然相反的打法思路，利用了好人玩家的反向逻辑，让好人错误的以为自己是想要污预言家的身份而支持“悍跳狼”的，不但做高了悍跳狼的预面，也做低了真预言家的身份。"
"狼人杀游戏中的""倒钩""是什么策略？铁倒钩和阴阳倒钩又是什么意思？","倒钩在狼人杀游戏中指的是狼队的一种打法策略，即首轮安排一名狼人站边真预言家，明面上打压自己的悍跳狼队友争取到真预言家的信任，躲避查验；同时也将自己与悍跳狼隔开，如果悍跳狼身份站不住了，也不影响倒钩狼的身份。
倒钩的两种常见打法分别是铁倒钩和阴阳倒钩，铁倒钩就是本局白天一直以好人的身份进行伪装，做成深水狼，待到游戏的后期成为“铁”好人，则可以白天抗推好人，晚上刀人带领狼队获得最终的胜利。阴阳倒钩则是前期站队真预言家，实现阵营身份与真预言家绑定，一旦自己的悍跳狼发挥的比较好，则可以选择白天聊爆出局，进而污真预言家的身份达到帮助悍跳狼抗推掉真预言家的目的。
总之，倒钩是一种非常常用的策略，对于狼人杀玩家是必须掌握的，无论是在后续游戏中拿到狼人去玩倒钩，还有拿到好人去盘倒钩狼都非常有用。"
"狼人杀游戏中的盗宝大师是属于哪个阵营的？他的技能是什么？如果偷到不同角色时，他会有怎样的技能？","盗宝大师在狼人杀游戏当中不属于好人，他是新的板子失踪的宝物里面的新角色，会自行成为一个阵营，叫盗宝大师阵营，故其即不是好人也不是狼人。
他的技能是可以偷取任意一名玩家的技能，被偷的玩家无法在当前夜晚发动技能，并且盗宝大师每局只能对同一名玩法发动依次技能。
1、偷到狼人时，只有第一次可获得狼人技能，当晚可以选择杀掉一名玩家，之后再次偷到其他狼人时，不会获得技能。
2、偷到预言家时，当晚可以查验一名玩家身份。
3、偷到女巫时，当晚可以使用女巫未使用的解药或毒药，若女巫两瓶药都已使用，则盗宝大师不会获得技能。当盗宝大师使用女巫解药或者毒药后，次日女巫将失去盗宝大师使用过的药水。
4、偷到猎人时，只有夜间被刀或者白天被票时才能开枪，死于女巫毒药时，不能开枪。
5、偷到村民时，不会获得技能。"
"狼美人在《狼人杀》游戏中的特殊能力是什么？在什么情况下，狼人阵营可以获胜？","狼人阵营获胜。
当场上只剩下狼美人、1个神职和1个平民，狼美人被抗推出局，其中无论是神职还是平民殉情，都是狼人获胜。这个与狼刀领先是一个概念，魅惑带人等同于狼刀。
狼美人除了普通狼人夜间刀人的能力外，可以通过魅惑一名玩家，待自己白天出局的时候可以带走被魅惑的玩家，但无法连续两晚魅惑同一名玩家。因此狼美人的玩法偏向于要隐藏身份，并抿出神职玩家，然后通过技能来魅惑神职，白天寻找出局的机会带走神职。狼美人带人的优先顺序：双药女巫>单毒女巫>守卫>预言家>猎人。"
